question,label
야 학사공지 알려줘,O S-INFO O
야 학사공지 뭐야,O S-INFO O
아 하계계절학기 알려줘,O S-INFO O
참 하계계절 교류수학 알려줘,O S-INFO S-INFO O
참 하계 교류수학 알려줘,O B-INFO E-INFO O
취득성적 포기 알려줘,B-INFO E-INFO O
취득성적 포기제도 알려줘,B-INFO E-INFO O
학점인정 알려줘,S-INFO O
군복무 학점인정 알려줘,B-INFO E-INFO O
군복무 학점 알려줘,B-INFO E-INFO O
학적변동관련양식 알려줘,S-INFO O
학적변동 알려줘,S-INFO O
학적변동양식 알려줘,S-INFO O
학적변동양식 뭐야,S-INFO O
조기취업 알려줘,S-INFO O
조기취업자 알려줘,S-INFO O
최종 폐강강좌 알려줘,B-INFO E-INFO O
폐강 알려줘,S-INFO O
수강안내 알려줘,S-INFO O
수강신청 알려줘,S-INFO O
수강신청 정정기간 알려줘,B-INFO E-INFO O
수업운영 방식 알려줘,B-INFO E-INFO O
수업운영 알려줘,S-INFO O
코로나 알려줘,S-INFO O
졸업유보 알려줘,S-INFO O
졸업대상자 알려줘,S-INFO O
수강가이드 알려줘,S-INFO O
사회봉사 교과목 알려줘,B-INFO E-INFO O
사회봉사 뭐야,S-INFO O
사회봉사 알려줘,S-INFO O
동계 계절학기 알려줘,B-INFO E-INFO O
동계 계절학기 수업운영 알려줘,B-INFO I-INFO E-INFO O
동계 계절학기 수업 알려줘,B-INFO I-INFO E-INFO O
교직과정 알려줘,S-INFO O
교직 뭐야,S-INFO O
교직 알려줘,S-INFO O
야 교직 알려줘,O S-INFO O
야 교직 뭐야,O S-INFO O
그럼 교직 알려줘,O S-INFO O
그럼 교직 뭐야,O S-INFO O
특별학점 알려줘,S-INFO O
특별학점 뭐야,S-INFO O
기말고사 알려줘,S-INFO O
성적열람 알려줘,S-INFO O
기말고사 성적열람 알려줘,B-INFO E-INFO O
휴보강 일정 알려줘,B-INFO E-INFO O
휴보강 언제야,S-INFO O
공휴일 언제야,S-INFO O
성적관리 알려줘,S-INFO O
성적평가방법 알려줘,S-INFO O
학기초과자 알려줘,S-INFO O
졸업연장자 알려줘,S-INFO O
학사학위취득유예자 알려줘,S-INFO O
분할납부 신청,S-INFO O
분할납부 알려줘,S-INFO O
분할납부 뭐야,S-INFO O
대학원 등록금 알려줘,B-INFO E-INFO O
대학원 등록금 뭐야,B-INFO E-INFO O
학사제도 변경사항 알려줘,B-INFO E-INFO O
시간표 변경 알려줘,B-INFO E-INFO O
재입학 허가자 알려줘,B-INFO E-INFO O
재입학 허가자 뭐야,B-INFO E-INFO O
인문대 전화번호 알려줘,B-INFO E-INFO O
인문대 학과실 전화번호 알려줘,B-INFO I-INFO E-INFO O
법대 전화번호 알려줘,B-INFO E-INFO O
법대 학과실 전화번호 알려줘,B-INFO I-INFO E-INFO O
자연과학대 전화번호 알려줘,B-INFO E-INFO O
자연과학대 학과실 전화번호 알려줘,B-INFO I-INFO E-INFO O
법사회대 학과실 전화번호 알려줘,B-INFO I-INFO E-INFO O
법사회대 전화번호 알려줘,B-INFO E-INFO O
경상대 전화번호 알려줘,B-INFO E-INFO O
공과대 전화번호 알려줘,B-INFO E-INFO O
IT융합대 전화번호 알려줘,B-INFO E-INFO O
사범대 전화번호 알려줘,B-INFO E-INFO O
미술체육대 전화번호 알려줘,B-INFO E-INFO O
미대 전화번호 알려줘,B-INFO E-INFO O
체대 전화번호 알려줘,B-INFO E-INFO O
의과대 전화번호 알려줘,B-INFO E-INFO O
의대 전화번호 알려줘,B-INFO E-INFO O
치과대 전화번호 알려줘,B-INFO E-INFO O
치대 전화번호 알려줘,B-INFO E-INFO O
약학대 전화번호 알려줘,B-INFO E-INFO O
약대 전화번호 알려줘,B-INFO E-INFO O
기초교육대 전화번호 알려줘,B-INFO E-INFO O
미래사회융합대 전화번호 알려줘,B-INFO E-INFO O
대학원 전화번호 알려줘,B-INFO E-INFO O
교육대학원 전화번호 알려줘,B-INFO E-INFO O
산업기술창업대학원 전화번호 알려줘,B-INFO E-INFO O
보건대학원 전화번호 알려줘,B-INFO E-INFO O
경영대학원 전화번호 알려줘,B-INFO E-INFO O
정책대학원 전화번호 알려줘,B-INFO E-INFO O
디자인대학원 전화번호 알려줘,B-INFO E-INFO O
임상약학대학원 전화번호 알려줘,B-INFO E-INFO O
의학전문대학원 전화번호 알려줘,B-INFO E-INFO O
치의학전문대학원 전화번호 알려줘,B-INFO E-INFO O
K-컬처공연기획학과 전화번호 알려줘,B-INFO E-INFO O
간호학과 전화번호 알려줘,B-INFO E-INFO O
건축공학과 전화번호 알려줘,B-INFO E-INFO O
건축학과 전화번호 알려줘,B-INFO E-INFO O
경영학부 전화번호 알려줘,B-INFO E-INFO O
경제학과 전화번호 알려줘,B-INFO E-INFO O
경찰행정학과 전화번호 알려줘,B-INFO E-INFO O
공공인재법무학과 전화번호 알려줘,B-INFO E-INFO O
공연예술무용과 전화번호 알려줘,B-INFO E-INFO O
광기술공학과 전화번호 알려줘,B-INFO E-INFO O
교육학과 전화번호 알려줘,B-INFO E-INFO O
국어교육과 전화번호 알려줘,B-INFO E-INFO O
국어국문학과 전화번호 알려줘,B-INFO E-INFO O
군사학과 전화번호 알려줘,B-INFO E-INFO O
글로벌비즈니스커뮤니케이션학과 전화번호 알려줘,B-INFO E-INFO O
기계공학과 전화번호 알려줘,B-INFO E-INFO O
기계시스템미래자동차공학부 전화번호 알려줘,B-INFO E-INFO O
독일어문화학과 전화번호 알려줘,B-INFO E-INFO O
디자인공학과 전화번호 알려줘,B-INFO E-INFO O
라이프스타일 디자인학부 전화번호 알려줘,B-INFO I-INFO E-INFO O
러시아어과 전화번호 알려줘,B-INFO E-INFO O
만화과 전화번호 알려줘,B-INFO E-INFO O
애니메이션학과 전화번호 알려줘,B-INFO E-INFO O
무역학과 전화번호 알려줘,B-INFO E-INFO O
문예창작학과 전화번호 알려줘,B-INFO E-INFO O
문화콘텐츠학과 전화번호 알려줘,B-INFO E-INFO O
물리교육과 전화번호 알려줘,B-INFO E-INFO O
물리학과 전화번호 알려줘,B-INFO E-INFO O
법학과 전화번호 알려줘,B-INFO E-INFO O
산업공학과 전화번호 알려줘,B-INFO E-INFO O
상담심리학과 전화번호 알려줘,B-INFO E-INFO O
생명과학과 전화번호 알려줘,B-INFO E-INFO O
생명화학고분자공학과 전화번호 알려줘,B-INFO E-INFO O
고분자공학과 전화번호 알려줘,B-INFO E-INFO O
생물교육과 전화번호 알려줘,B-INFO E-INFO O
선박해양공학과 전화번호 알려줘,B-INFO E-INFO O
소방재난관리학과 전화번호 알려줘,B-INFO E-INFO O
수학과 전화번호 알려줘,B-INFO E-INFO O
수학교육과 전화번호 알려줘,B-INFO E-INFO O
스마트이동체융합시스템공학부 전화번호 알려줘,B-INFO E-INFO O
스페인어과 전화번호 알려줘,B-INFO E-INFO O
스포츠산업학과 전화번호 알려줘,B-INFO E-INFO O
시각디자인학과 전화번호 알려줘,B-INFO E-INFO O
식품영양학과 전화번호 알려줘,B-INFO E-INFO O
신문방송학과 전화번호 알려줘,B-INFO E-INFO O
신산업융합학부 전화번호 알려줘,B-INFO E-INFO O
아랍어과 전화번호 알려줘,B-INFO E-INFO O
아시아언어문화학부 전화번호 알려줘,B-INFO E-INFO O
약학과 전화번호 알려줘,B-INFO E-INFO O
언어치료학과 전화번호 알려줘,B-INFO E-INFO O
에너지자원공학과 전화번호 알려줘,B-INFO E-INFO O
역사문화학과 전화번호 알려줘,B-INFO E-INFO O
영어교육과 전화번호 알려줘,B-INFO E-INFO O
영어영문학과 전화번호 알려줘,B-INFO E-INFO O
용접접합과학공학과 전화번호 알려줘,B-INFO E-INFO O
원자력공학과 전화번호 알려줘,B-INFO E-INFO O
유럽언어문화학부부 전화번호 알려줘,B-INFO E-INFO O
